GAME_DATE,home_TEAM_ABBREVIATION,away_TEAM_ABBREVIATION,kalshi_market_ticker,kalshi_event_ticker,kalshi_market_title,kalshi_market_subtitle,kalshi_market_status,kalshi_market_source,kalshi_yes_price,kalshi_yes_price_pregame,kalshi_pregame_sampled_ts,kalshi_no_price,kalshi_last_price,kalshi_price_home_win,kalshi_yes_team,kalshi_volume,kalshi_close_time,kalshi_settlement_ts
2026-02-19,CHA,HOU,KXNBAGAME-26FEB19HOUCHA-CHA,KXNBAGAME-26FEB19HOUCHA,Houston at Charlotte Winner?,,finalized,historical,0.005,,,0.995,0.01,0.005,CHA,4427850.0,2026-02-20T02:34:39Z,2026-02-20T02:36:10.929013Z
2026-03-03,TOR,NYK,KXNBAGAME-26MAR03NYKTOR-NYK,KXNBAGAME-26MAR03NYKTOR,New York at Toronto Winner?,,finalized,historical,0.995,0.565,2026-03-04T00:18:00+00:00,0.005,0.99,0.435,NYK,4296919.0,2026-03-04T03:08:02Z,2026-03-04T03:09:37.083243Z
2026-03-01,BKN,CLE,KXNBAGAME-26MAR01CLEBKN-BKN,KXNBAGAME-26MAR01CLEBKN,Cleveland at Brooklyn Winner?,,finalized,historical,0.005,0.135,2026-03-01T20:46:00+00:00,0.995,0.01,0.135,BKN,4260924.0,2026-03-01T23:36:07Z,2026-03-01T23:37:37.016012Z
2026-03-17,WAS,DET,KXNBAGAME-26MAR17DETWAS-WAS,KXNBAGAME-26MAR17DETWAS,Detroit at Washington Winner?,,finalized,live,0.005,0.055,2026-03-17T22:46:00+00:00,0.995,0.01,0.055,WAS,4204439.0,2026-03-18T01:36:28Z,2026-03-18T01:37:59.34589Z
2026-03-17,ORL,OKC,KXNBAGAME-26MAR17OKCORL-OKC,KXNBAGAME-26MAR17OKCORL,Oklahoma City at Orlando Winner?,,finalized,live,0.995,0.805,2026-03-17T22:51:00+00:00,0.005,0.99,0.195,OKC,3972383.0,2026-03-18T01:41:06Z,2026-03-18T01:42:39.402396Z
2026-03-23,MIA,SAS,KXNBAGAME-26MAR23SASMIA-SAS,KXNBAGAME-26MAR23SASMIA,San Antonio at Miami Winner?,,finalized,live,0.995,0.605,2026-03-23T23:01:00+00:00,0.005,0.99,0.395,SAS,3894093.0,2026-03-24T01:51:09Z,2026-03-24T01:52:41.703402Z
2026-03-07,DET,BKN,KXNBAGAME-26MAR07BKNDET-BKN,KXNBAGAME-26MAR07BKNDET,Brooklyn at Detroit Winner?,,finalized,live,0.995,0.145,2026-03-07T23:00:00+00:00,0.005,0.99,0.855,BKN,3811003.0,2026-03-08T01:50:34Z,2026-03-08T01:52:08.850092Z
2026-03-20,MIN,POR,KXNBAGAME-26MAR20PORMIN-MIN,KXNBAGAME-26MAR20PORMIN,Portland at Minnesota Winner?,,finalized,live,0.005,0.495,2026-03-20T23:58:00+00:00,0.995,0.01,0.495,MIN,3681362.0,2026-03-21T02:48:04Z,2026-03-21T02:49:55.479477Z
2026-03-23,ORL,IND,KXNBAGAME-26MAR23INDORL-ORL,KXNBAGAME-26MAR23INDORL,Indiana at Orlando Winner?,,finalized,live,0.005,0.825,2026-03-23T22:54:00+00:00,0.995,0.01,0.825,ORL,3588482.0,2026-03-24T01:44:24Z,2026-03-24T01:46:01.00285Z
2026-03-21,NOP,CLE,KXNBAGAME-26MAR21CLENOP-CLE,KXNBAGAME-26MAR21CLENOP,Cleveland at New Orleans Winner?,,finalized,live,0.995,0.655,2026-03-21T22:41:00+00:00,0.005,0.99,0.345,CLE,3536915.0,2026-03-22T01:31:02Z,2026-03-22T01:32:41.289485Z
2026-02-26,DAL,SAC,KXNBAGAME-26FEB26SACDAL-DAL,KXNBAGAME-26FEB26SACDAL,Sacramento at Dallas Winner?,,finalized,historical,0.005,0.745,2026-02-27T01:13:00+00:00,0.995,0.01,0.745,DAL,3440370.0,2026-02-27T04:03:47Z,2026-02-27T04:05:17.808672Z
2026-03-21,WAS,OKC,KXNBAGAME-26MAR21OKCWAS-WAS,KXNBAGAME-26MAR21OKCWAS,Oklahoma City at Washington Winner?,,finalized,live,0.005,0.035,2026-03-21T20:52:00+00:00,0.995,0.01,0.035,WAS,3412288.0,2026-03-21T23:42:28Z,2026-03-21T23:44:00.985365Z
2026-02-22,PHX,POR,KXNBAGAME-26FEB22PORPHX-PHX,KXNBAGAME-26FEB22PORPHX,Portland at Phoenix Winner?,,finalized,historical,0.005,,,0.995,0.01,0.005,PHX,3323712.0,2026-02-23T03:24:23Z,2026-02-23T03:25:56.609383Z
2026-03-05,WAS,UTA,KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,Utah at Washington Winner?,,finalized,live,0.995,0.385,2026-03-05T23:41:00+00:00,0.005,0.99,0.615,UTA,3306007.0,2026-03-06T02:31:30Z,2026-03-06T02:33:08.762838Z
2026-02-20,NOP,MIL,KXNBAGAME-26FEB20MILNOP-MIL,KXNBAGAME-26FEB20MILNOP,Milwaukee at New Orleans Winner?,,finalized,historical,0.995,,,0.005,0.99,0.005,MIL,3302144.0,2026-02-21T03:23:34Z,2026-02-21T03:25:06.566053Z
2026-02-22,IND,DAL,KXNBAGAME-26FEB22DALIND-IND,KXNBAGAME-26FEB22DALIND,Dallas at Indiana Winner?,,finalized,historical,0.005,,,0.995,0.01,0.005,IND,3273490.0,2026-02-23T00:36:30Z,2026-02-23T00:38:06.655655Z
2026-03-20,MEM,BOS,KXNBAGAME-26MAR20BOSMEM-BOS,KXNBAGAME-26MAR20BOSMEM,Boston at Memphis Winner?,,finalized,live,0.995,0.905,2026-03-20T23:53:00+00:00,0.005,0.99,0.095,BOS,3073229.0,2026-03-21T02:44:13Z,2026-03-21T02:45:50.999286Z
2026-03-04,MEM,POR,KXNBAGAME-26MAR04PORMEM-MEM,KXNBAGAME-26MAR04PORMEM,Portland at Memphis Winner?,,finalized,historical,0.005,0.235,2026-03-05T00:52:00+00:00,0.995,0.01,0.235,MEM,2979774.0,2026-03-05T03:42:01Z,2026-03-05T03:43:36.943785Z
2026-02-11,ORL,MIL,KXNBAGAME-26FEB11MILORL-MIL,KXNBAGAME-26FEB11MILORL,Milwaukee at Orlando Winner?,,finalized,historical,0.995,,,0.005,0.99,0.005,MIL,2823126.0,2026-02-12T02:41:33Z,2026-02-12T02:43:10.151036Z
2026-03-02,WAS,HOU,KXNBAGAME-26MAR02HOUWAS-HOU,KXNBAGAME-26MAR02HOUWAS,Houston at Washington Winner?,,finalized,historical,0.995,0.895,2026-03-02T23:56:00+00:00,0.005,0.99,0.105,HOU,2796434.0,2026-03-03T02:46:02Z,2026-03-03T02:47:36.897158Z
2026-03-16,WAS,GSW,KXNBAGAME-26MAR16GSWWAS-WAS,KXNBAGAME-26MAR16GSWWAS,Golden State at Washington Winner?,,finalized,live,0.005,0.265,2026-03-16T22:54:00+00:00,0.995,0.01,0.265,WAS,2677125.0,2026-03-17T01:44:16Z,2026-03-17T01:45:49.97545Z
2026-02-19,PHI,ATL,KXNBAGAME-26FEB19ATLPHI-PHI,KXNBAGAME-26FEB19ATLPHI,Atlanta at Philadelphia Winner?,,finalized,historical,0.005,,,0.995,0.01,0.005,PHI,2601813.0,2026-02-20T02:50:45Z,2026-02-20T02:52:20.624081Z
2026-03-01,DAL,OKC,KXNBAGAME-26MAR01OKCDAL-DAL,KXNBAGAME-26MAR01OKCDAL,Oklahoma City at Dallas Winner?,,finalized,historical,0.005,0.105,2026-03-02T00:53:00+00:00,0.995,0.01,0.105,DAL,2514879.0,2026-03-02T03:43:54Z,2026-03-02T03:45:26.916729Z
2026-03-08,MIL,ORL,KXNBAGAME-26MAR08ORLMIL-ORL,KXNBAGAME-26MAR08ORLMIL,Orlando at Milwaukee Winner?,,finalized,live,0.995,0.665,2026-03-09T00:06:00+00:00,0.005,0.99,0.335,ORL,2474425.0,2026-03-09T02:56:15Z,2026-03-09T02:57:48.657378Z
2026-02-11,BKN,IND,KXNBAGAME-26FEB11INDBKN-IND,KXNBAGAME-26FEB11INDBKN,Indiana at Brooklyn Winner?,,finalized,historical,0.995,,,0.005,0.99,0.005,IND,2467763.0,2026-02-12T03:08:00Z,2026-02-12T03:09:30.167327Z
2026-03-17,MIL,CLE,KXNBAGAME-26MAR17CLEMIL-MIL,KXNBAGAME-26MAR17CLEMIL,Cleveland at Milwaukee Winner?,,finalized,live,0.005,0.165,2026-03-17T23:58:00+00:00,0.995,0.01,0.165,MIL,2416246.0,2026-03-18T02:48:18Z,2026-03-18T02:49:49.570982Z
