GAME_DATE,home_TEAM_ABBREVIATION,away_TEAM_ABBREVIATION,home_REST_DAYS,away_REST_DAYS,home_SPLIT_WIN_PCT,away_SPLIT_WIN_PCT,home_ROLLING_5_WIN,home_ROLLING_10_WIN,away_ROLLING_5_WIN,away_ROLLING_10_WIN,home_ROLLING_5_OFF_RATING,home_ROLLING_5_DEF_RATING,home_ROLLING_5_PACE,away_ROLLING_5_OFF_RATING,away_ROLLING_5_DEF_RATING,away_ROLLING_5_PACE,home_WIN,kalshi_market_ticker,kalshi_event_ticker,kalshi_market_title,kalshi_market_subtitle,kalshi_market_status,kalshi_market_source,kalshi_yes_price,kalshi_no_price,kalshi_last_price,kalshi_price_home_win,kalshi_yes_team,kalshi_volume,kalshi_close_time,kalshi_settlement_ts
2026-01-14,CHI,UTA,0.0,1.0,0.5652173913043478,0.25,0.2,0.4,0.4,0.4,109.04,115.8,97.2,109.54,122.58,102.984,1,KXNBAGAME-26JAN14UTACHI-UTA,KXNBAGAME-26JAN14UTACHI,Utah at Chicago Winner?,,finalized,live,0.5,0.5,0.01,0.5,UTA,4084894.0,2026-01-15T03:41:23.645806Z,2026-01-15T03:50:51.836525Z
2026-01-18,CHI,BKN,1.0,1.0,0.5833333333333334,0.3333333333333333,0.4,0.4,0.2,0.2,114.92,116.5,98.5,111.68,117.9,95.4,1,KXNBAGAME-26JAN18BKNCHI-CHI,KXNBAGAME-26JAN18BKNCHI,Brooklyn at Chicago Winner?,,finalized,live,0.5,0.5,0.99,0.5,CHI,770052.0,2026-01-19T02:21:30.308134Z,2026-01-19T02:23:01.131674Z
2026-01-24,CHI,BOS,1.0,0.0,0.6153846153846154,0.6153846153846154,0.8,0.5,0.8,0.6,123.72,112.94,100.1,119.3,109.56000000000002,97.306,1,KXNBAGAME-26JAN24BOSCHI-BOS,KXNBAGAME-26JAN24BOSCHI,Boston at Chicago Winner?,,finalized,live,0.5,0.5,0.01,0.5,BOS,5381595.0,2026-01-25T03:33:25.314961Z,2026-01-25T03:35:00.563103Z
2026-01-29,CHI,MIA,0.0,0.0,0.6071428571428571,0.3703703703703703,0.6,0.6,0.6,0.5,120.22,116.42,99.6,117.1,112.66,105.8,0,KXNBAGAME-26JAN29MIACHI-CHI,KXNBAGAME-26JAN29MIACHI,Miami at Chicago Winner?,,finalized,live,0.5,0.5,0.01,0.5,CHI,2963617.0,2026-01-30T03:45:42Z,2026-01-30T03:47:17.190831Z
2026-02-07,CHI,DEN,1.0,2.0,0.5862068965517241,0.6774193548387096,0.2,0.4,0.4,0.4,104.68,120.04,104.8,119.54,120.26000000000002,94.572,0,KXNBAGAME-26FEB07DENCHI-DEN,KXNBAGAME-26FEB07DENCHI,Denver at Chicago Winner?,,finalized,live,0.5,0.5,0.99,0.5,DEN,2948149.0,2026-02-08T03:40:26Z,2026-02-08T03:41:59.886142Z
2026-02-19,CHI,TOR,7.0,7.0,0.5666666666666667,0.6206896551724138,0.0,0.1,0.6,0.6,111.5,127.92,100.3,115.12,110.84,99.7,0,KXNBA1HWINNER-26FEB19TORCHI-TIE,KXNBA1HWINNER-26FEB19TORCHI,Toronto vs Chicago: First Half Winner?,,finalized,live,0.245,0.755,0.0,0.755,TOR,0.0,2026-02-20T02:43:39Z,2026-02-20T02:49:40.432192Z
2026-02-21,CHI,DET,1.0,1.0,0.5483870967741935,0.7,0.0,0.1,0.8,0.8,108.2,122.48000000000002,101.2,121.5,106.3,96.5,0,KXNBA1HWINNER-26FEB21DETCHI-TIE,KXNBA1HWINNER-26FEB21DETCHI,Detroit vs Chicago: First Half Winner?,,finalized,live,0.01,0.99,0.08,0.99,DET,128.0,2026-02-22T03:09:44Z,2026-02-22T03:15:46.350942Z
2026-02-22,CHI,NYK,0.0,0.0,0.53125,0.5666666666666667,0.0,0.1,0.6,0.7,106.66,120.08,103.4,119.8,107.3,98.868,0,KXNBA1HWINNER-26FEB22NYKCHI-NYK,KXNBA1HWINNER-26FEB22NYKCHI,New York vs Chicago: First Half Winner?,,finalized,live,0.005,0.995,0.01,0.995,NYK,8397.0,2026-02-23T03:49:51Z,2026-02-23T03:55:56.352725Z
2026-02-24,CHI,CHA,1.0,1.0,0.5151515151515151,0.4848484848484848,0.0,0.1,0.4,0.7,103.56,114.1,102.8,117.32,117.64,94.5,0,KXNBA2HWINNER-26FEB24CHACHI-TIE,KXNBA2HWINNER-26FEB24CHACHI,Charlotte vs Chicago: Second Half Winner?,,finalized,live,0.005,0.995,0.0,0.995,CHA,0.0,2026-02-25T03:15:36Z,2026-02-25T03:21:35.348549Z
2026-02-26,CHI,POR,1.0,1.0,0.5,0.4,0.0,0.0,0.4,0.5,102.06,117.52,101.2,107.24,116.8,104.1,0,KXNBA1HWINNER-26FEB26PORCHI-TIE,KXNBA1HWINNER-26FEB26PORCHI,Portland vs Chicago: First Half Winner?,,finalized,live,0.005,0.995,0.01,0.995,POR,460.0,2026-02-27T02:11:28Z,2026-02-27T02:17:34.160721Z
2026-03-01,CHI,MIL,2.0,1.0,0.4857142857142857,0.4375,0.0,0.0,0.6,0.7,101.96,115.0,102.7,116.06000000000002,120.58,99.5,1,KXNBAGAME-26MAR01MILCHI-MIL,KXNBAGAME-26MAR01MILCHI,Milwaukee at Chicago Winner?,,finalized,live,0.005,0.995,0.01,0.995,MIL,1985199.0,2026-03-01T23:32:10Z,2026-03-01T23:33:46.844487Z
2026-03-03,CHI,OKC,1.0,1.0,0.5,0.6857142857142857,0.2,0.1,0.8,0.7,105.58,112.72,102.6,112.46,107.2,100.93,0,KXNBA2HWINNER-26MAR03OKCCHI-TIE,KXNBA2HWINNER-26MAR03OKCCHI,Oklahoma City vs Chicago: Second Half Winner?,,finalized,live,0.25,0.75,0.0,0.75,OKC,0.0,2026-03-04T03:21:35Z,2026-03-04T03:27:36.713638Z
2026-03-16,CHI,MEM,2.0,2.0,0.4864864864864865,0.3513513513513513,0.4,0.3,0.0,0.2,111.6,117.52,102.406,117.42,127.84,99.5,1,KXNBA1HWINNER-26MAR16MEMCHI-CHI,KXNBA1HWINNER-26MAR16MEMCHI,Memphis vs Chicago: First Half Winner?,,finalized,live,0.995,0.005,0.99,0.995,CHI,5032.0,2026-03-17T01:05:31Z,2026-03-17T01:11:39.656089Z
2026-03-18,CHI,TOR,1.0,2.0,0.5,0.6,0.4,0.4,0.6,0.4,117.1,118.1,102.406,117.02,112.08,98.1,0,KXNBA1HWINNER-26MAR18TORCHI-TIE,KXNBA1HWINNER-26MAR18TORCHI,Toronto vs Chicago: First Half Winner?,,finalized,live,0.005,0.995,0.01,0.995,TOR,196.0,2026-03-19T01:07:33Z,2026-03-19T01:13:40.797637Z
2026-03-19,CHI,CLE,0.0,1.0,0.4871794871794871,0.5555555555555556,0.4,0.4,0.6,0.5,116.12,119.62,103.206,126.16,118.84,97.8,0,KXNBA1HWINNER-26MAR19CLECHI-TIE,KXNBA1HWINNER-26MAR19CLECHI,Cleveland vs Chicago: First Half Winner?,,finalized,live,0.005,0.995,0.01,0.995,CLE,461.0,2026-03-20T01:11:38Z,2026-03-20T01:17:40.78978Z
2026-03-23,CHI,HOU,3.0,1.0,0.475,0.5405405405405406,0.2,0.4,0.6,0.5,113.84,120.02,103.6,116.71999999999998,113.98,95.5,1,KXNBAGAME-26MAR23HOUCHI-HOU,KXNBAGAME-26MAR23HOUCHI,Houston at Chicago Winner?,,finalized,live,0.005,0.995,0.01,0.995,HOU,7598858.0,2026-03-24T02:36:12Z,2026-03-24T02:37:51.58455Z
2025-10-11,DAL,CHA,4.0,1.0,1.0,0.0,0.6,0.4,0.0,0.1,109.64,109.1,100.9,99.54,119.42,101.3,0,KXNBAGAME-25OCT11CHADAL-CHA,KXNBAGAME-25OCT11CHADAL,Charlotte vs Dallas Winner?,,finalized,live,0.5,0.5,0.99,0.5,CHA,48659.0,2025-10-12T02:56:08.28362Z,2025-10-12T03:04:31.773132Z
2025-10-24,DAL,WAS,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6,0.5,0.4,0.2,106.56,102.56,103.1,110.24,112.76,103.8,0,KXNBAGAME-25OCT24WASDAL-DAL,KXNBAGAME-25OCT24WASDAL,Washington vs Dallas Winner?,,finalized,live,0.5,0.5,0.01,0.5,DAL,2252969.0,2025-10-25T03:36:16.124126Z,2025-10-25T03:45:36.514234Z
2025-10-26,DAL,TOR,1.0,1.0,0.25,0.75,0.4,0.5,0.6,0.5,105.8,106.74,104.2,109.9,106.92,108.1,1,KXNBAGAME-25OCT26TORDAL-DAL,KXNBAGAME-25OCT26TORDAL,Toronto vs Dallas Winner?,,finalized,live,0.5,0.5,0.99,0.5,DAL,1744208.0,2025-10-27T02:20:14.497963Z,2025-10-27T02:29:34.401565Z
2025-10-27,DAL,OKC,0.0,1.0,0.4,0.6666666666666666,0.6,0.5,1.0,0.8,109.61999999999998,107.76,104.7,111.96,104.7,98.228,0,KXNBAGAME-25OCT27OKCDAL-DAL,KXNBAGAME-25OCT27OKCDAL,Oklahoma City vs Dallas Winner?,,finalized,live,0.5,0.5,0.01,0.5,DAL,1595876.0,2025-10-28T03:07:37.635614Z,2025-10-28T03:16:57.679509Z
2025-10-29,DAL,IND,1.0,2.0,0.3333333333333333,0.25,0.4,0.5,0.0,0.3,106.44,108.78,103.8,105.36,121.04,101.824,1,KXNBAGAME-25OCT29INDDAL-DAL,KXNBAGAME-25OCT29INDDAL,Indiana vs Dallas Winner?,,finalized,live,0.5,0.5,0.99,0.5,DAL,3700181.0,2025-10-30T03:24:59.12102Z,2025-10-30T03:34:20.292896Z
2025-11-05,DAL,NOP,1.0,0.0,0.4285714285714285,0.0,0.4,0.4,0.2,0.2,106.62,109.4,103.4,106.14,125.86,98.5,0,KXNBAGAME-25NOV05NOPDAL-DAL,KXNBAGAME-25NOV05NOPDAL,New Orleans vs Dallas Winner?,,finalized,live,0.5,0.5,0.01,0.5,DAL,3254528.0,2025-11-06T04:00:21.0095Z,2025-11-06T04:09:42.021285Z
2025-11-10,DAL,MIL,1.0,0.0,0.375,0.6666666666666666,0.2,0.3,0.4,0.6,103.92,109.46,101.4,116.88,121.18,101.1,0,KXNBAGAME-25NOV10MILDAL-MIL,KXNBAGAME-25NOV10MILDAL,Milwaukee vs Dallas Winner?,,finalized,live,0.5,0.5,0.99,0.5,MIL,3835218.0,2025-11-11T04:34:29.344952Z,2025-11-11T04:43:50.315923Z
2025-11-12,DAL,PHX,1.0,1.0,0.3333333333333333,0.375,0.2,0.3,0.8,0.5,104.28,107.6,101.9,120.66,111.18,97.2,0,KXNBAGAME-25NOV12PHXDAL-PHX,KXNBAGAME-25NOV12PHXDAL,Phoenix vs Dallas Winner?,,finalized,live,0.5,0.5,0.99,0.5,PHX,2763169.0,2025-11-13T04:34:27.488979Z,2025-11-13T04:43:48.359691Z
2025-11-16,DAL,POR,1.0,1.0,0.2727272727272727,0.3333333333333333,0.2,0.2,0.4,0.5,106.48,110.74,103.106,117.68,121.72,103.1,1,KXNBAGAME-25NOV16PORDAL-POR,KXNBAGAME-25NOV16PORDAL,Portland vs Dallas Winner?,,finalized,live,0.5,0.5,0.01,0.5,POR,2684036.0,2025-11-17T03:39:33.207947Z,2025-11-17T03:48:53.457243Z
2025-11-21,DAL,NOP,1.0,1.0,0.3076923076923077,0.125,0.2,0.2,0.0,0.2,106.6,112.42,103.992,108.48000000000002,121.6,102.1,1,KXNBAGAME-25NOV21NOPDAL-DAL,KXNBAGAME-25NOV21NOPDAL,New Orleans vs Dallas Winner?,,finalized,live,0.5,0.5,0.99,0.5,DAL,4060080.0,2025-11-22T04:24:37.434753Z,2025-11-22T04:33:58.153315Z
2025-11-22,DAL,MEM,0.0,1.0,0.3571428571428571,0.2222222222222222,0.4,0.3,0.2,0.2,107.14,110.7,104.192,108.5,114.14,101.8,0,KXNBAGAME-25NOV22MEMDAL-DAL,KXNBAGAME-25NOV22MEMDAL,Memphis vs Dallas Winner?,,finalized,live,0.5,0.5,0.01,0.5,DAL,3766023.0,2025-11-23T04:04:33.142009Z,2025-11-23T04:13:54.197889Z
2025-12-03,DAL,MIA,1.0,1.0,0.3333333333333333,0.3636363636363636,0.4,0.4,0.8,0.7,113.04,115.02,99.2,116.48,110.74,105.1,1,KXNBAGAME-25DEC03MIADAL-DAL,KXNBAGAME-25DEC03MIADAL,Miami vs Dallas Winner?,,finalized,live,0.5,0.5,0.99,0.5,DAL,3844848.0,2025-12-04T04:00:22.262525Z,2025-12-04T04:09:43.331341Z
2025-12-06,DAL,HOU,0.0,0.0,0.375,0.7692307692307693,0.6,0.4,0.8,0.8,118.9,120.12,100.0,119.36,105.4,99.8,1,KXNBAGAME-25DEC06HOUDAL-HOU,KXNBAGAME-25DEC06HOUDAL,Houston vs Dallas Winner?,,finalized,live,0.5,0.5,0.01,0.5,HOU,1666742.0,2025-12-07T04:00:14.968608Z,2025-12-07T04:09:35.616629Z
2025-12-12,DAL,BKN,5.0,5.0,0.4117647058823529,0.3571428571428571,0.8,0.5,0.6,0.4,120.06,115.9,99.8,113.66,111.14,98.2,1,KXNBAGAME-25DEC12BKNDAL-BKN,KXNBAGAME-25DEC12BKNDAL,Brooklyn vs Dallas Winner?,,finalized,live,0.5,0.5,0.01,0.5,BKN,3959984.0,2025-12-13T04:04:32.927423Z,2025-12-13T04:13:53.292157Z
2025-12-23,DAL,DEN,0.0,0.0,0.4736842105263157,0.8235294117647058,0.4,0.6,0.8,0.8,110.02,112.12,103.736,122.78,111.6,100.256,1,KXNBAGAME-25DEC23DENDAL-DEN,KXNBAGAME-25DEC23DENDAL,Denver vs Dallas Winner?,,finalized,live,0.5,0.5,0.01,0.5,DEN,5098020.0,2025-12-24T03:34:41.067424Z,2025-12-24T03:44:12.887323Z
